Date,Region,Baseline Movement Deviation,Proportion of Static Users
2020-03-01,Abu Ghraib,-0.13667,0.24649
2020-03-02,Abu Ghraib,-0.07561,0.22038
2020-03-03,Abu Ghraib,-0.10471,0.21413
2020-03-04,Abu Ghraib,-0.01248,0.21114
2020-03-05,Abu Ghraib,-0.10723,0.22531
2020-03-06,Abu Ghraib,-0.09936,0.22727
2020-03-07,Abu Ghraib,0.02445,0.18572
2020-03-08,Abu Ghraib,-0.0343,0.20382
2020-03-09,Abu Ghraib,-0.10085,0.22694
2020-03-10,Abu Ghraib,-0.10225,0.21639
2020-03-11,Abu Ghraib,0.04615,0.20881
2020-03-12,Abu Ghraib,-0.06683,0.19305
2020-03-13,Abu Ghraib,-0.10354,0.2396
2020-03-14,Abu Ghraib,-0.16285,0.2327
2020-03-15,Abu Ghraib,-0.15958,0.23211
2020-03-16,Abu Ghraib,-0.15105,0.21871
2020-03-17,Abu Ghraib,-0.28636,0.23957
2020-03-18,Abu Ghraib,-0.4073,0.25955
2020-03-19,Abu Ghraib,-0.41619,0.27055
2020-03-20,Abu Ghraib,-0.33019,0.30055
2020-03-21,Abu Ghraib,-0.41994,0.31182
2020-03-22,Abu Ghraib,-0.45168,0.30603
2020-03-23,Abu Ghraib,-0.45632,0.29935
2020-03-24,Abu Ghraib,-0.50555,0.30222
2020-03-25,Abu Ghraib,-0.48903,0.31137
2020-03-26,Abu Ghraib,-0.44078,0.29388
2020-03-27,Abu Ghraib,-0.38026,0.3225
2020-03-28,Abu Ghraib,-0.44176,0.30022
2020-03-29,Abu Ghraib,-0.4414,0.29657
2020-03-30,Abu Ghraib,-0.44188,0.2802
2020-03-31,Abu Ghraib,-0.49054,0.27687
2020-04-01,Abu Ghraib,-0.40386,0.27032
2020-04-02,Abu Ghraib,-0.39943,0.27232
2020-04-03,Abu Ghraib,-0.27082,0.27634
2020-04-04,Abu Ghraib,-0.37966,0.29713
2020-04-05,Abu Ghraib,-0.31675,0.239
2020-04-06,Abu Ghraib,-0.40229,0.28513
2020-04-07,Abu Ghraib,-0.40984,0.27182
2020-04-08,Abu Ghraib,-0.40525,0.25132
2020-04-09,Abu Ghraib,-0.41649,0.28488
2020-04-10,Abu Ghraib,-0.37179,0.29161
2020-04-11,Abu Ghraib,-0.43995,0.29277
2020-04-12,Abu Ghraib,-0.41436,0.2744
2020-04-13,Abu Ghraib,-0.44695,0.27676
2020-04-14,Abu Ghraib,-0.44868,0.27901
2020-04-15,Abu Ghraib,-0.36493,0.26875
2020-04-16,Abu Ghraib,-0.36696,0.25
2020-04-17,Abu Ghraib,-0.28161,0.2407
2020-04-18,Abu Ghraib,-0.27589,0.23721
2020-04-19,Abu Ghraib,-0.26841,0.23719
2020-04-20,Abu Ghraib,-0.30516,0.24879
2020-04-21,Abu Ghraib,-0.15858,0.21162
2020-04-22,Abu Ghraib,-0.1229,0.18212
2020-04-23,Abu Ghraib,-0.14257,0.20686
2020-04-24,Abu Ghraib,-0.45013,0.32518
2020-04-25,Abu Ghraib,-0.44476,0.30244
2020-04-26,Abu Ghraib,-0.15084,0.23847
2020-04-27,Abu Ghraib,-0.16166,0.25562
2020-04-28,Abu Ghraib,-0.24815,0.27403
2020-04-29,Abu Ghraib,-0.12856,0.25239
2020-04-30,Abu Ghraib,-0.16277,0.23794
2020-05-01,Abu Ghraib,-0.40409,0.32384
2020-05-02,Abu Ghraib,-0.42156,0.31339
2020-05-03,Abu Ghraib,-0.12826,0.22552
2020-05-04,Abu Ghraib,-0.22991,0.23316
2020-05-05,Abu Ghraib,-0.18809,0.22216
2020-05-06,Abu Ghraib,-0.15162,0.21259
2020-05-07,Abu Ghraib,-0.11109,0.25655
2020-05-08,Abu Ghraib,-0.36876,0.31557
2020-05-09,Abu Ghraib,-0.37773,0.2978
2020-05-10,Abu Ghraib,-0.04049,0.22778
2020-05-11,Abu Ghraib,-0.03937,0.24125
2020-05-12,Abu Ghraib,-0.0862,0.24914
2020-05-13,Abu Ghraib,0.02856,0.21739
2020-05-14,Abu Ghraib,0.0279,0.20592
2020-05-15,Abu Ghraib,-0.23971,0.26843
2020-05-16,Abu Ghraib,-0.28644,0.26898
2020-05-17,Abu Ghraib,0.04373,0.19089
2020-05-18,Abu Ghraib,0.0438,0.2055
2020-05-19,Abu Ghraib,0.0005,0.20848
2020-05-20,Abu Ghraib,0.04467,0.23563
2020-05-21,Abu Ghraib,0.00345,0.2391
2020-05-22,Abu Ghraib,-0.25321,0.28764
2020-05-23,Abu Ghraib,-0.38716,0.27857
2020-05-24,Abu Ghraib,-0.38897,0.26122
2020-05-25,Abu Ghraib,-0.34099,0.26126
2020-05-26,Abu Ghraib,-0.32221,0.25143
2020-05-27,Abu Ghraib,-0.32063,0.26598
2020-05-28,Abu Ghraib,-0.34814,0.27376
2020-05-29,Abu Ghraib,-0.13549,0.28897
2020-05-30,Abu Ghraib,-0.25944,0.24684
2020-05-31,Abu Ghraib,-0.24058,0.24032
2020-06-01,Abu Ghraib,-0.24454,0.25058
2020-06-02,Abu Ghraib,-0.30237,0.25071
2020-06-03,Abu Ghraib,-0.19882,0.24749
2020-06-04,Abu Ghraib,-0.20719,0.2537
2020-06-05,Abu Ghraib,-0.19957,0.29171
2020-06-06,Abu Ghraib,-0.25555,0.26267
2020-06-07,Abu Ghraib,-0.20668,0.23929
2020-06-08,Abu Ghraib,-0.25817,0.25029
2020-06-09,Abu Ghraib,-0.28337,0.2393
2020-06-10,Abu Ghraib,-0.26287,0.25343
2020-06-11,Abu Ghraib,-0.30064,0.27564
2020-06-12,Abu Ghraib,-0.23102,0.27541
2020-06-13,Abu Ghraib,-0.21619,0.25702
2020-06-14,Abu Ghraib,0.03355,0.21137
2020-06-15,Abu Ghraib,0.0273,0.19689
2020-06-16,Abu Ghraib,-0.02695,0.19791
2020-06-17,Abu Ghraib,0.10036,0.21044
2020-06-18,Abu Ghraib,-0.30913,0.28101
2020-06-19,Abu Ghraib,-0.28689,0.287
2020-06-20,Abu Ghraib,-0.32522,0.27879
2020-06-21,Abu Ghraib,0.04426,0.20288
2020-06-22,Abu Ghraib,-0.05872,0.21851
2020-06-23,Abu Ghraib,-0.14662,0.25338
2020-06-24,Abu Ghraib,-0.02074,0.22899
2020-06-25,Abu Ghraib,-0.35187,0.26153
2020-06-26,Abu Ghraib,-0.27383,0.295
2020-06-27,Abu Ghraib,-0.27791,0.28815
2020-06-28,Abu Ghraib,-0.00754,0.20055
2020-06-29,Abu Ghraib,-0.15998,0.22924
2020-06-30,Abu Ghraib,-0.13947,0.23551
2020-07-01,Abu Ghraib,-0.0169,0.23029
2020-07-02,Abu Ghraib,-0.28489,0.3278
2020-07-03,Abu Ghraib,-0.29,0.29755
2020-07-04,Abu Ghraib,-0.37357,0.30662
2020-07-05,Abu Ghraib,0.03608,0.24502
2020-07-06,Abu Ghraib,-0.06566,0.22213
2020-07-07,Abu Ghraib,-0.09465,0.23691
2020-07-08,Abu Ghraib,0.07479,0.22694
2020-07-09,Abu Ghraib,-0.29908,0.30618
2020-07-10,Abu Ghraib,-0.30212,0.30128
2020-07-11,Abu Ghraib,-0.24617,0.32364
2020-07-12,Abu Ghraib,-0.03085,0.24815
2020-07-13,Abu Ghraib,-0.08764,0.25948
2020-07-14,Abu Ghraib,-0.22547,0.26443
2020-07-15,Abu Ghraib,0.03696,0.23981
2020-07-16,Abu Ghraib,-0.35904,0.26042
2020-07-17,Abu Ghraib,-0.22576,0.28098
2020-07-18,Abu Ghraib,-0.23464,0.2697
2020-07-19,Abu Ghraib,0.11334,0.22234
2020-07-20,Abu Ghraib,0.03778,0.2146
2020-07-21,Abu Ghraib,-0.02456,0.22756
2020-07-22,Abu Ghraib,0.01037,0.22847
2020-07-23,Abu Ghraib,-0.23728,0.27304
2020-07-24,Abu Ghraib,-0.2933,0.28194
2020-07-25,Abu Ghraib,-0.25639,0.26497
2020-07-26,Abu Ghraib,0.03464,0.22064
2020-07-27,Abu Ghraib,-0.06621,0.23412
2020-07-28,Abu Ghraib,0.0161,0.25675
2020-07-29,Abu Ghraib,0.12734,0.2351
2020-07-30,Abu Ghraib,-0.16212,0.26171
2020-07-31,Abu Ghraib,-0.1929,0.27911
2020-08-01,Abu Ghraib,-0.3171,0.26586
2020-08-02,Abu Ghraib,-0.25952,0.27418
2020-08-03,Abu Ghraib,-0.28871,0.27115
2020-08-04,Abu Ghraib,-0.32554,0.27328
2020-08-05,Abu Ghraib,-0.24437,0.2797
2020-08-06,Abu Ghraib,-0.22728,0.27429
2020-08-07,Abu Ghraib,-0.21071,0.3106
2020-08-08,Abu Ghraib,-0.27088,0.26019
2020-08-09,Abu Ghraib,-0.00721,0.25428
2020-08-10,Abu Ghraib,-0.01132,0.21752
2020-08-11,Abu Ghraib,0.02568,0.20904
2020-08-12,Abu Ghraib,0.05679,0.23383
2020-08-13,Abu Ghraib,-0.16775,0.27552
2020-08-14,Abu Ghraib,-0.1985,0.25479
2020-08-15,Abu Ghraib,-0.22647,0.27294
2020-08-16,Abu Ghraib,0.14318,0.21762
2020-08-17,Abu Ghraib,0.04417,0.23124
2020-08-18,Abu Ghraib,0.0776,0.22721
2020-08-19,Abu Ghraib,0.12232,0.19486
2020-08-20,Abu Ghraib,-0.0698,0.23667
2020-08-21,Abu Ghraib,-0.12329,0.2823
2020-08-22,Abu Ghraib,-0.04297,0.23496
2020-08-23,Abu Ghraib,0.06626,0.22787
2020-08-24,Abu Ghraib,0.09017,0.21713
2020-08-25,Abu Ghraib,0.02951,0.24043
