date,region,movdev,staticusers,attacks,attacktype
"March 1, 2020",Abu Ghraib,-0.13667,0.24649,,
"March 2, 2020",Abu Ghraib,-0.07561,0.22038,,
"March 3, 2020",Abu Ghraib,-0.10471,0.21413,,
"March 4, 2020",Abu Ghraib,-0.01248,0.21114,,
"March 5, 2020",Abu Ghraib,-0.10723,0.22531,,
"March 6, 2020",Abu Ghraib,-0.09936,0.22727,,
"March 7, 2020",Abu Ghraib,0.02445,0.18572,,
"March 8, 2020",Abu Ghraib,-0.0343,0.20382,,
"March 9, 2020",Abu Ghraib,-0.10085,0.22694,,
"March 10, 2020",Abu Ghraib,-0.10225,0.21639,,
"March 11, 2020",Abu Ghraib,0.04615,0.20881,,
"March 12, 2020",Abu Ghraib,-0.06683,0.19305,,
"March 13, 2020",Abu Ghraib,-0.10354,0.2396,,
"March 14, 2020",Abu Ghraib,-0.16285,0.2327,,
"March 15, 2020",Abu Ghraib,-0.15958,0.23211,,
"March 16, 2020",Abu Ghraib,-0.15105,0.21871,,
"March 17, 2020",Abu Ghraib,-0.28636,0.23957,,
"March 18, 2020",Abu Ghraib,-0.4073,0.25955,,
"March 19, 2020",Abu Ghraib,-0.41619,0.27055,,
"March 20, 2020",Abu Ghraib,-0.33019,0.30055,,
"March 21, 2020",Abu Ghraib,-0.41994,0.31182,,
"March 22, 2020",Abu Ghraib,-0.45168,0.30603,,
"March 23, 2020",Abu Ghraib,-0.45632,0.29935,,
"March 24, 2020",Abu Ghraib,-0.50555,0.30222,,
"March 25, 2020",Abu Ghraib,-0.48903,0.31137,,
"March 26, 2020",Abu Ghraib,-0.44078,0.29388,,
"March 27, 2020",Abu Ghraib,-0.38026,0.3225,,
"March 28, 2020",Abu Ghraib,-0.44176,0.30022,,
"March 29, 2020",Abu Ghraib,-0.4414,0.29657,,
"March 30, 2020",Abu Ghraib,-0.44188,0.2802,,
"March 31, 2020",Abu Ghraib,-0.49054,0.27687,,
"April 1, 2020",Abu Ghraib,-0.40386,0.27032,,
